0.69354,0.68588,0.67822,0.67061,0.66305,0.65551,0.64781,0.64006,0.63234,0.6247,0.61717,0.60972,0.60225,0.59481,0.58728,0.57957,0.57179,0.5641,0.55654,0.5491,0.54188,0.53495,0.52822,0.52155,0.51495,0.50853,0.50243,0.4968,0.49158,0.48673,0.48197,0.4775,0.47361,0.47029,0.46755,0.46502,0.4631,0.46131,0.45975,0.45893,0.45876,0.45872,0.45863,0.45903,0.46051,0.46277,0.4657,0.46904,0.47267,0.47654
0.69912,0.6914,0.68361,0.67578,0.66797,0.66016,0.65234,0.64452,0.63671,0.62884,0.62112,0.61347,0.60594,0.59846,0.59084,0.58301,0.57502,0.56713,0.5594,0.5518,0.54443,0.53743,0.53074,0.52422,0.51784,0.51161,0.50565,0.49985,0.49433,0.48908,0.48425,0.48,0.47614,0.47204,0.46869,0.46619,0.4643,0.46265,0.46084,0.45987,0.45953,0.45922,0.45874,0.45867,0.45969,0.46182,0.46476,0.46828,0.47217,0.47629
0.70447,0.69658,0.68864,0.68069,0.67276,0.6648,0.65666,0.64851,0.6405,0.63266,0.62493,0.61723,0.60947,0.60171,0.59382,0.58586,0.57792,0.57,0.56217,0.55443,0.54694,0.53991,0.53324,0.52671,0.52019,0.5138,0.50766,0.5019,0.49645,0.49134,0.48631,0.48136,0.47686,0.47294,0.46977,0.46667,0.46406,0.46183,0.46021,0.45941,0.45914,0.45881,0.45822,0.45798,0.45882,0.46074,0.46355,0.46705,0.47108,0.47549
0.70975,0.70172,0.69361,0.68545,0.67724,0.66893,0.66059,0.65236,0.6443,0.63628,0.62832,0.62035,0.61246,0.6046,0.59669,0.58872,0.58065,0.57259,0.56459,0.55667,0.549,0.54175,0.53487,0.5282,0.52171,0.51551,0.50958,0.50366,0.49782,0.49221,0.48691,0.48201,0.47755,0.47302,0.46915,0.46591,0.46319,0.461,0.45925,0.45837,0.45801,0.45756,0.45677,0.45626,0.4568,0.4585,0.46119,0.4648,0.46919,0.47412
0.71479,0.70657,0.69832,0.69,0.68157,0.67301,0.66438,0.65591,0.64766,0.63959,0.63156,0.62347,0.61533,0.60724,0.59911,0.59106,0.58306,0.57499,0.56691,0.55882,0.5509,0.54341,0.53634,0.52955,0.52299,0.51662,0.51038,0.50434,0.49847,0.49284,0.48731,0.4819,0.47688,0.47235,0.46848,0.46472,0.46138,0.45871,0.45698,0.45616,0.45585,0.45545,0.45474,0.45428,0.45471,0.45617,0.45862,0.46216,0.46666,0.47179
0.71974,0.71141,0.70295,0.69436,0.68562,0.67675,0.66795,0.65936,0.65102,0.64273,0.63447,0.62613,0.61783,0.60961,0.60148,0.59345,0.58522,0.57692,0.56863,0.56039,0.55235,0.54468,0.53738,0.53041,0.52374,0.51734,0.51109,0.50486,0.49864,0.49254,0.48672,0.48126,0.47617,0.47117,0.46668,0.46264,0.45915,0.45644,0.4546,0.45369,0.45337,0.45299,0.45223,0.45156,0.45165,0.45275,0.45501,0.45852,0.46315,0.46848
0.72441,0.71586,0.70727,0.69852,0.68958,0.68045,0.67133,0.66247,0.65392,0.64559,0.63725,0.62879,0.62023,0.61182,0.60348,0.59514,0.58683,0.5785,0.57022,0.56193,0.55369,0.54578,0.53824,0.53109,0.52427,0.51765,0.51108,0.5046,0.49821,0.492,0.48599,0.48014,0.47462,0.46949,0.46481,0.46044,0.45669,0.45371,0.45171,0.45072,0.45038,0.45004,0.44928,0.44853,0.44845,0.44933,0.45126,0.45455,0.45906,0.46426
0.72899,0.72031,0.71145,0.7024,0.69315,0.68374,0.67443,0.66545,0.65681,0.64825,0.63967,0.63101,0.62238,0.61383,0.60531,0.59684,0.58819,0.57966,0.57118,0.56274,0.55443,0.54639,0.53872,0.53144,0.5245,0.51773,0.51099,0.5042,0.49744,0.4909,0.48468,0.47872,0.47304,0.4675,0.46246,0.45797,0.45408,0.45095,0.44871,0.44752,0.44709,0.44672,0.44588,0.44491,0.44449,0.44499,0.44672,0.44984,0.45417,0.45913
0.73314,0.72423,0.71525,0.70606,0.69664,0.68698,0.67739,0.66814,0.65926,0.65058,0.64194,0.63326,0.62438,0.61551,0.60662,0.5977,0.58898,0.58044,0.57204,0.56359,0.55513,0.5469,0.53902,0.53152,0.5243,0.51722,0.51014,0.50315,0.49628,0.48965,0.48318,0.47679,0.47077,0.46519,0.46007,0.45529,0.4511,0.44768,0.44522,0.44386,0.44335,0.44294,0.44207,0.441,0.4404,0.44071,0.44213,0.44494,0.44895,0.45359
0.73716,0.72813,0.71886,0.70948,0.69982,0.68993,0.68013,0.67072,0.6617,0.65276,0.64383,0.63484,0.62583,0.61678,0.60763,0.59856,0.58959,0.58086,0.57218,0.56353,0.55491,0.54656,0.53858,0.53099,0.52365,0.51643,0.50921,0.50192,0.49466,0.48769,0.48102,0.47456,0.46849,0.46249,0.457,0.45215,0.44791,0.44435,0.44157,0.43994,0.43928,0.43877,0.43778,0.4365,0.43562,0.43559,0.43681,0.43943,0.44323,0.44765
