35.664,110.04,68.572,60.305,50.179,50.083,14.118,39.23,54.564
38.008,133.39,57.654,48.759,102.08,59.466,60.762,74.079,71.089
41.354,134.26,35.496,33.22,85.145,58.519,13.445,51.934,54.349
40.898,165.17,59.924,69.631,93.202,82.795,67.19,81.82,85.297
44.009,185.53,63.379,77.589,79.403,80.939,61.334,74.561,83.552
43.618,99.668,56.273,65.554,26.269,36.031,27.593,30.321,49.866
44.683,150.39,81.836,77.09,46.648,66.421,31.197,48.239,69.902
45.807,101.59,59.086,73.889,69.681,33.53,52.304,52.277,63.179
47.701,106.09,15.98,15.926,87.064,59.481,19.873,56.217,47.748
48.071,18.562,31.512,25.975,73.935,96.798,64.025,79.257,54.305
48.777,88.338,9.9328,84.69,58.875,53.123,32.458,48.012,59.121
53.489,27.623,35.802,16.094,88.118,37.48,58.527,61.851,44.885
53.634,58.457,62.776,55.312,78.315,75.705,67.023,73.045,66.77
55.487,84.651,67.268,56.258,78.658,69.311,46.43,65.741,66.288
56.18,125.69,64.35,89.267,75.946,75.565,73.692,75.92,81.743
56.514,108.61,105.36,76.588,69.981,80.135,60.496,69.636,78.779
59.663,103.9,84.43,97.118,67.828,63.817,86.187,73.131,84.942
59.104,149.13,82.897,76.423,61.533,56.318,32.112,50.959,70.451
60.151,130.47,88.927,70.258,57.676,45.992,38.78,47.536,66.245
60.685,96.493,73.896,28.848,89.569,72.326,40.949,67.7,60.511
61.109,165.1,117.05,111.33,99.414,95.955,66.651,88.048,103.92
61.548,43.692,64.664,58.902,60.315,38.651,43.607,48.723,51.474
61.798,99.32,94.157,98.291,81.505,98.683,71.644,83.949,89.933
62.807,60.451,91.076,78.666,64.881,80.153,59.131,67.659,72.389
64.953,103.38,47.253,40.216,67.346,39.039,22.109,42.637,51.087
66.152,118.89,101.89,110.87,49.746,52.935,46.52,49.723,77.977
65.217,139.66,98.658,98.192,77.467,70.304,52.178,66.166,83.43
65.48,172.2,93.511,98.12,64.921,72.544,47.959,61.56,85.697
66.42,71.467,94.31,74.22,76.304,55.464,56.397,63.69,69.337
67.878,96.444,98.491,101.59,58.241,43.161,48.478,50.212,73.909
69.254,61.222,36.539,59.219,69.89,60.218,35.56,55.025,55.665
69.08,100.44,95.202,71.048,62.293,53.769,39.235,50.998,66.348
69.81,195.07,103.41,108.83,61.875,59.046,58.288,59.259,90.757
70.886,140,78.131,46.047,74.265,56.588,43.432,57.254,64.744
69.225,158.93,66.868,95.582,76.622,70.206,58.803,68.396,84.448
70.297,152.83,81.592,68.725,82.43,57.551,63.925,67.432,77.332
69.962,146.22,106.72,100.67,72.871,68.613,68.415,70.624,87.289
69.133,99.232,96.438,96.368,92.227,67.355,72.802,76.987,84.98
71.906,103.82,46.48,82.33,52.648,28.413,28.029,35.612,56.608
71.104,161.18,113.89,104.69,84.776,58.791,46.149,63.647,88.515
71.653,176.93,114.76,108.08,85.017,71.723,51.182,69.28,95.089
70.231,159.19,115.15,98.67,78.376,69.47,56.892,67.656,89.791
71.745,159.29,112.06,112.89,71.297,74.006,48.853,64.678,91.339
72.802,132.38,101.79,103.85,49.8,55.807,42.19,50.468,78.546
72.597,109.84,101.59,109.9,67.737,75.78,43.751,63.268,83.916
73.607,128.11,94.807,94.222,85.266,84.715,75.092,80.899,90.32
73.52,133.58,44.55,35.436,94.441,76.519,81.223,84.186,74.485
74.971,68.968,44.193,53.16,54.156,55.811,44.809,50.18,54.63
74.746,88.216,91.288,94.842,76.479,68.725,55.267,66.415,78.818
74.203,150.19,93.26,106.97,66.914,54.868,64.811,61.95,87.09
74.04,100.78,70.495,80.263,71.562,61.19,70.261,66.966,75.554
74.12,192.42,111.87,105.93,97.459,91.984,81.028,91.16,107.33
75.838,25.628,22.593,38.31,62.545,70.322,25.633,52.799,46.36
74.913,175.49,94.984,109.15,78.561,69.789,74.224,74.499,96.166
75.445,128.98,61.956,47.666,64.658,52.848,32.259,50.072,59.63
76.018,133.08,90.457,108.86,74.292,86.256,83.121,80.397,95.154
77.141,87.065,89.562,116,58.548,73.67,39.348,55.967,76.841
